인덱스	데이터 명	이름	설명	종류	단맛	신맛	쓴맛	짠맛	매운맛	수분	독성	사용 효과	지속시간	판매 가격	최대 개수	아이콘
1001		나뭇가지	나무에서 자라는 가지입니다. 하하	0	0	0	0	0	0	0	0		0	150	999	Branch
1002		녹각	사슴아 아프지 말고 행복해야한다?	1	15	5	10	15	20	5	45		0	1500	999	DearHorn
2001		녹용	입에서 살살 녹아용	1	25	5	10	32	23	25	15		0	2500	999	Nokyong
2002		고사리	고사리 손이랑은 안 닮은 것 같다.	1	5	5	75	5	5	0	65		0	3400	999	Gosari
2003		상황버섯	예상치 못한 상황이다.	1	23	15	25	0	10	5	26		0	5400	999	SangHwangmushroom
2004		웅장	진짜 곰발바닥 실화냐 가슴이 웅장해진다 이게 그 무서운 곰의 발바닥이 맞냐	1	25	25	25	25	25	25	25		0	10291	999	Bearfoot
3001		도약탕	이것 '도 약' 입니다.	2	99	50	25	23	42	25	25	1	15	3500	999	LiquidMedicineDY
2005		개똥쑥	냄새가 지독하니 막 건들지 마시길...	1	0	0	55	35	15	75	45		0	7000	999	Artemisia
2006		인삼	사람처럼 생겼나?	1	35	0	85	0	10	10	35		0	10000	999	Insam
3002		인숙탕	개똥쑥도 약으로 쓰인다.	2	25	0	70	25	15	40	40	2	15	5000	999	LiquidMedicine
3003		작녹탕	작약과 녹각을 이용해서 약을 만들었다.	2	35	10	5	15	25	90	10	4	15	14000	999	LiquidMedicineJN
2007		작약	아직 약은 아니지만, 보기에는 좋다.	1	15	65	75	15	15	15	45		0	5000	999	JakYak
2008		작약 뿌리	작약의 유효 부위. 이 부분을 약으로 사용한다.	1	10	45	45	10	10	5	10		0	7500	999	JakYakRoot
3004		계심환	닭의 심장을 이용한 환약. 쇠 맛이 난다.	2	15	5	35	85	15	10	25	3	15	15000	999	HwanDan
2009		계심	닭의 심장. 강력한 생명력이 느껴진다.	1	15	5	25	95	5	75	25		0	1500	999	Heart
